as	0.0	 0.7885	 0.853	 0.8252	 0.8697	 0.8577	 0.8952	 0.8436	 0.8161	 0.7987	 0.8637	 0.8519	 0.928	 0.8973
bn	0.7885	 0.0	 0.7398	 0.7314	 0.8695	 0.7917	 0.8448	 0.7627	 0.7863	 0.7351	 0.8473	 0.7627	 0.8937	 0.8788
gu	0.853	 0.7398	 0.0	 0.7197	 0.8693	 0.779	 0.8482	 0.75	 0.7945	 0.7725	 0.8452	 0.7724	 0.9011	 0.8738
hi	0.8267	 0.7322	 0.7207	 0.0	 0.8654	 0.7666	 0.8379	 0.7455	 0.773	 0.7364	 0.7993	 0.7706	 0.8891	 0.869
kn	0.8697	 0.8695	 0.8693	 0.8643	 0.0	 0.8617	 0.8616	 0.8599	 0.8618	 0.8634	 0.9006	 0.8693	 0.8873	 0.8493
ko	0.8577	 0.7917	 0.779	 0.7656	 0.8616	 0.0	 0.8492	 0.7493	 0.834	 0.778	 0.8595	 0.811	 0.8971	 0.8728
ml	0.8952	 0.8448	 0.8482	 0.837	 0.8616	 0.8492	 0.0	 0.8475	 0.8728	 0.837	 0.9169	 0.8371	 0.8124	 0.8499
mr	0.8456	 0.7641	 0.7516	 0.7457	 0.8616	 0.7509	 0.849	 0.0	 0.8105	 0.7753	 0.8386	 0.7829	 0.9018	 0.8711
ne	0.8181	 0.788	 0.7962	 0.7723	 0.8635	 0.8355	 0.8744	 0.809	 0.0	 0.8014	 0.8392	 0.8178	 0.9118	 0.8793
or	0.7987	 0.7351	 0.7725	 0.7356	 0.8633	 0.778	 0.837	 0.774	 0.7997	 0.0	 0.8468	 0.783	 0.8844	 0.8716
pa	0.8637	 0.8473	 0.8452	 0.7976	 0.9005	 0.8595	 0.9169	 0.8364	 0.8372	 0.8468	 0.0	 0.8863	 0.9373	 0.9004
sa	0.852	 0.7628	 0.7725	 0.7697	 0.8694	 0.8111	 0.8373	 0.7815	 0.8156	 0.7831	 0.8865	 0.0	 0.8881	 0.8703
ta	0.9334	 0.8959	 0.9034	 0.8903	 0.8908	 0.8998	 0.8147	 0.9029	 0.9148	 0.8868	 0.9409	 0.8914	 0.0	 0.8743
te	0.8973	 0.8788	 0.8738	 0.8676	 0.8493	 0.8728	 0.8499	 0.8692	 0.8775	 0.8716	 0.9004	 0.8702	 0.8716	 0.0
